age,job,marital,education,default,housing,loan,contact,month,day,duration,poutcome
59,admin.,married,secondary,no,yes,no,unknown,may,5,1042,unknown
56,admin.,married,secondary,no,no,no,unknown,may,5,1467,unknown
41,technician,married,secondary,no,yes,no,unknown,may,5,1389,unknown
55,services,married,secondary,no,yes,no,unknown,may,5,579,unknown
54,admin.,married,tertiary,no,no,no,unknown,may,5,673,unknown
42,management,single,tertiary,no,yes,yes,unknown,may,5,562,unknown
56,management,married,tertiary,no,yes,yes,unknown,may,6,1201,unknown
60,retired,divorced,secondary,no,yes,no,unknown,may,6,1030,unknown
37,technician,married,secondary,no,yes,no,unknown,may,6,608,unknown
28,services,single,secondary,no,yes,no,unknown,may,6,1297,unknown
38,admin.,single,secondary,no,yes,no,unknown,may,7,786,unknown
30,blue-collar,married,secondary,no,yes,no,unknown,may,7,1574,unknown
29,management,married,tertiary,no,yes,yes,unknown,may,7,1689,unknown
46,blue-collar,single,tertiary,no,yes,no,unknown,may,7,1102,unknown
31,technician,single,tertiary,no,yes,no,unknown,may,8,943,unknown
35,management,divorced,tertiary,no,yes,no,unknown,may,8,1084,unknown
32,blue-collar,single,primary,no,yes,no,unknown,may,8,541,unknown
49,services,married,secondary,no,yes,no,unknown,may,8,1119,unknown
41,admin.,married,secondary,no,yes,no,unknown,may,8,1120,unknown
49,admin.,divorced,secondary,no,yes,yes,unknown,may,8,513,unknown
28,admin.,divorced,secondary,no,yes,no,unknown,may,8,442,unknown
43,management,single,tertiary,no,yes,no,unknown,may,8,756,unknown
43,management,divorced,tertiary,no,yes,no,unknown,may,8,2087,unknown
43,blue-collar,married,primary,no,yes,no,unknown,may,8,1120,unknown
37,unemployed,single,secondary,no,yes,no,unknown,may,8,985,unknown
35,blue-collar,single,secondary,no,yes,no,unknown,may,9,617,unknown
31,technician,single,tertiary,no,yes,no,unknown,may,9,483,unknown
43,blue-collar,single,secondary,no,yes,no,unknown,may,9,929,unknown
31,admin.,married,secondary,no,yes,no,unknown,may,9,538,unknown
28,blue-collar,single,secondary,no,yes,no,unknown,may,9,710,unknown
32,blue-collar,married,secondary,yes,yes,no,unknown,may,9,653,unknown
60,technician,married,primary,no,yes,no,unknown,may,9,1028,unknown
26,blue-collar,single,secondary,no,yes,no,unknown,may,9,654,unknown
40,blue-collar,married,secondary,no,yes,no,unknown,may,9,1692,unknown
33,blue-collar,divorced,primary,no,yes,no,unknown,may,9,665,unknown
32,management,single,tertiary,no,no,no,unknown,may,12,757,unknown
35,blue-collar,married,primary,no,no,no,unknown,may,13,504,unknown
33,management,divorced,secondary,no,yes,no,unknown,may,13,1346,unknown
38,management,married,tertiary,no,yes,no,unknown,may,13,568,unknown
23,entrepreneur,single,primary,no,yes,no,unknown,may,13,395,unknown
60,blue-collar,married,primary,no,yes,yes,unknown,may,13,1015,unknown
48,management,married,tertiary,no,yes,no,unknown,may,13,683,unknown
45,entrepreneur,divorced,tertiary,no,yes,no,unknown,may,13,470,unknown
36,blue-collar,married,secondary,no,yes,no,unknown,may,13,1001,unknown
52,management,married,unknown,no,yes,no,unknown,may,13,845,unknown
35,blue-collar,divorced,primary,no,yes,no,unknown,may,13,945,unknown
43,technician,married,secondary,no,yes,no,unknown,may,13,1721,unknown
52,housemaid,married,secondary,no,yes,no,unknown,may,14,942,unknown
53,technician,divorced,primary,no,yes,no,unknown,may,14,476,unknown
48,blue-collar,divorced,primary,no,yes,no,unknown,may,14,832,unknown
41,blue-collar,single,primary,no,yes,no,unknown,may,14,1553,unknown
39,management,divorced,tertiary,no,yes,yes,unknown,may,14,1328,unknown
59,retired,married,secondary,no,yes,yes,unknown,may,14,1125,unknown
41,blue-collar,married,secondary,no,yes,no,unknown,may,14,858,unknown
48,blue-collar,married,secondary,no,yes,no,unknown,may,14,629,unknown
40,admin.,married,secondary,no,yes,no,unknown,may,14,704,unknown
48,blue-collar,married,secondary,no,yes,no,unknown,may,14,760,unknown
60,retired,married,primary,no,yes,no,unknown,may,14,930,unknown
40,technician,single,unknown,no,yes,no,unknown,may,14,1028,unknown
57,technician,married,tertiary,no,no,no,unknown,may,14,850,unknown
51,blue-collar,married,secondary,no,yes,no,unknown,may,14,927,unknown
41,blue-collar,divorced,secondary,no,yes,no,unknown,may,14,1423,unknown
41,blue-collar,married,secondary,no,yes,no,unknown,may,15,1162,unknown
52,blue-collar,divorced,primary,no,yes,no,unknown,may,15,755,unknown
59,blue-collar,married,primary,no,yes,no,unknown,may,15,695,unknown
44,blue-collar,married,unknown,no,yes,no,unknown,may,15,483,unknown
49,unknown,married,primary,no,yes,yes,unknown,may,15,520,unknown
40,services,married,primary,no,yes,no,unknown,may,15,920,unknown
41,admin.,married,primary,no,yes,no,unknown,may,15,500,unknown
44,technician,married,tertiary,no,yes,no,unknown,may,15,911,unknown
60,services,single,primary,no,yes,no,unknown,may,15,920,unknown
29,management,married,tertiary,no,no,no,unknown,may,15,1224,unknown
41,retired,divorced,primary,no,yes,no,unknown,may,15,1156,unknown
41,blue-collar,married,primary,no,yes,no,unknown,may,15,1052,unknown
42,technician,single,secondary,no,yes,no,unknown,may,15,1867,unknown
36,services,single,unknown,no,yes,no,unknown,may,16,515,unknown
39,technician,married,tertiary,no,yes,yes,unknown,may,16,813,unknown
31,self-employed,single,tertiary,no,yes,no,unknown,may,16,676,unknown
26,blue-collar,married,secondary,no,yes,no,unknown,may,16,1143,unknown
31,blue-collar,married,secondary,no,yes,no,unknown,may,16,688,unknown
29,admin.,single,secondary,no,yes,yes,unknown,may,16,803,unknown
37,services,divorced,secondary,no,yes,no,unknown,may,16,619,unknown
33,blue-collar,single,secondary,no,yes,no,unknown,may,16,767,unknown
24,technician,single,secondary,no,yes,no,unknown,may,16,912,unknown
50,admin.,divorced,secondary,no,yes,no,unknown,may,16,1340,unknown
27,technician,single,tertiary,no,yes,no,unknown,may,16,897,unknown
54,management,single,tertiary,no,yes,no,unknown,may,16,1297,unknown
30,technician,single,secondary,no,yes,no,unknown,may,16,1193,unknown
34,blue-collar,married,primary,no,yes,yes,unknown,may,16,1064,unknown
37,management,single,secondary,no,yes,no,unknown,may,16,1187,unknown
41,admin.,single,secondary,no,yes,no,unknown,may,19,882,unknown
47,blue-collar,married,secondary,no,yes,no,unknown,may,19,943,unknown
31,admin.,married,secondary,no,yes,no,unknown,may,19,607,unknown
31,blue-collar,married,secondary,no,yes,no,unknown,may,19,1022,unknown
43,services,divorced,secondary,no,yes,no,unknown,may,19,552,unknown
37,management,divorced,tertiary,no,yes,no,unknown,may,19,1622,unknown
30,technician,single,tertiary,no,yes,yes,unknown,may,19,967,unknown
41,technician,married,secondary,no,yes,no,unknown,may,19,579,unknown
36,blue-collar,married,secondary,no,yes,no,unknown,may,20,446,unknown
35,blue-collar,divorced,secondary,no,yes,no,unknown,may,20,1205,unknown
29,services,single,secondary,no,yes,no,unknown,may,20,1882,unknown
35,blue-collar,married,primary,no,yes,no,unknown,may,20,1334,unknown
31,blue-collar,married,secondary,no,yes,no,unknown,may,20,182,unknown
35,services,married,secondary,no,yes,no,unknown,may,20,1777,unknown
34,technician,single,secondary,no,yes,no,unknown,may,20,1182,unknown
31,admin.,single,secondary,no,yes,yes,unknown,may,20,1045,unknown
44,technician,divorced,secondary,no,yes,no,unknown,may,20,650,unknown
36,blue-collar,married,primary,no,yes,yes,unknown,may,20,1063,unknown
35,blue-collar,married,unknown,no,yes,no,unknown,may,20,843,unknown
41,blue-collar,married,primary,no,yes,no,unknown,may,20,1392,unknown
31,blue-collar,single,primary,no,yes,no,unknown,may,21,565,unknown
34,blue-collar,married,secondary,no,yes,no,unknown,may,21,905,unknown
32,technician,married,secondary,no,yes,no,unknown,may,21,783,unknown
36,management,married,tertiary,no,yes,yes,unknown,may,21,958,unknown
30,blue-collar,single,secondary,yes,yes,no,unknown,may,21,412,unknown
37,technician,single,secondary,no,yes,no,unknown,may,21,795,unknown
36,blue-collar,married,primary,no,yes,no,unknown,may,21,649,unknown
31,management,single,tertiary,no,yes,no,unknown,may,21,506,unknown
27,technician,married,secondary,no,yes,yes,unknown,may,21,857,unknown
34,retired,married,primary,no,no,no,unknown,may,21,1681,unknown
30,technician,single,tertiary,no,yes,no,unknown,may,21,1697,unknown
32,technician,single,tertiary,no,yes,no,unknown,may,21,860,unknown
37,technician,single,secondary,no,yes,no,unknown,may,21,799,unknown
32,blue-collar,married,secondary,no,yes,no,unknown,may,21,923,unknown
33,blue-collar,married,secondary,no,yes,no,unknown,may,21,521,unknown
35,blue-collar,married,primary,no,yes,no,unknown,may,23,1349,unknown
